Date,District,Temperature_Max_C,Temperature_Min_C,Temperature_Avg_C,Rainfall_mm,Humidity_Percent,Wind_Speed_kmph,Sunshine_Hours
2015-01-08,Mandya,27.4,16.0,23.4,7.2,62,6.4,2.7
2015-01-08,Mysuru,21.0,16.7,21.0,7.5,92,5.4,9.1
2015-01-08,Hassan,24.5,13.9,21.6,10.2,78,8.5,6.5
2015-01-08,Davanagere,24.0,12.1,19.1,6.6,47,6.8,2.7
2015-01-08,Shivamogga,22.6,14.5,20.4,15.6,60,6.9,4.2
2015-01-08,Dharwad,22.3,15.6,22.2,6.2,51,4.7,5.3
2015-01-08,Belagavi,21.5,11.6,18.7,5.1,70,3.7,0.9
2015-01-09,Koppal,27.1,18.7,25.7,15.7,91,5.7,5.9
2015-01-09,Ballari,18.8,14.8,18.0,0.0,47,3.4,11.1
2015-01-09,Raichur,24.8,20.5,24.7,17.4,71,3.6,6.5
2015-01-09,Mandya,27.1,18.2,22.4,0.6,77,2.9,7.5
2015-01-09,Mysuru,27.8,21.4,24.5,7.2,48,4.5,10.5
2015-01-09,Hassan,21.8,15.2,21.0,13.0,68,4.2,3.5
2015-01-09,Davanagere,27.7,18.3,24.0,1.1,64,14.7,1.3
2015-01-09,Shivamogga,29.1,18.9,24.1,3.7,75,3.8,1.8
2015-01-09,Dharwad,21.8,17.0,20.5,18.3,83,13.2,4.5
2015-01-09,Belagavi,28.7,21.0,25.9,1.8,95,4.5,5.5
2015-01-10,Koppal,23.7,18.6,22.7,18.6,49,6.1,1.3
2015-01-10,Ballari,26.0,17.8,21.5,14.6,83,9.7,10.3
2015-01-10,Raichur,26.7,17.2,23.6,6.3,90,12.4,6.2
2015-01-10,Mandya,25.4,14.0,21.4,10.7,92,2.3,0.7
2015-01-10,Mysuru,21.8,15.3,19.7,1.7,72,11.1,8.6
2015-01-10,Hassan,19.8,12.8,19.5,12.4,56,2.1,8.6
2015-01-10,Davanagere,20.6,16.7,20.5,8.8,78,3.2,0.2
2015-01-10,Shivamogga,19.9,13.5,19.4,6.0,81,5.1,3.6
2015-01-10,Dharwad,29.6,18.2,24.6,15.4,78,4.4,10.2
2015-01-10,Belagavi,21.5,13.5,20.1,2.4,75,5.8,5.1
2015-01-11,Koppal,24.1,12.7,20.5,9.3,44,2.3,3.7
2015-01-11,Ballari,23.3,18.1,22.1,15.2,68,4.8,2.2
2015-01-11,Raichur,21.2,11.2,18.5,1.9,87,9.7,2.1
2015-01-11,Mandya,22.4,15.2,21.7,19.6,44,6.9,11.6
2015-01-11,Mysuru,22.8,12.1,18.4,7.2,65,7.1,1.1
2015-01-11,Hassan,23.3,13.3,19.5,13.4,80,14.2,4.9
2015-01-11,Davanagere,26.0,19.6,23.6,13.0,91,7.4,4.8
2015-01-11,Shivamogga,21.4,15.3,20.8,4.6,89,13.6,10.9
2015-01-11,Dharwad,21.8,18.2,21.8,19.8,81,10.9,3.4
2015-01-11,Belagavi,25.2,19.5,24.7,4.4,95,11.7,5.7
2015-01-12,Koppal,26.4,19.5,25.8,15.4,61,12.3,2.8
2015-01-12,Ballari,23.2,15.3,21.0,10.0,58,13.7,6.2
2015-01-12,Raichur,25.7,16.8,22.3,7.9,51,10.2,5.1
2015-01-12,Mandya,22.5,14.2,19.1,6.8,49,6.6,6.5
2015-01-12,Mysuru,24.4,16.2,19.6,6.1,73,8.4,1.7
2015-01-12,Hassan,30.5,20.0,25.5,19.5,89,3.8,2.9
2015-01-12,Davanagere,28.6,20.5,24.9,16.5,58,5.1,10.6
2015-01-12,Shivamogga,25.3,21.1,24.6,17.5,48,7.2,11.5
2015-01-12,Dharwad,21.3,12.9,19.8,19.1,77,12.1,4.3
2015-01-12,Belagavi,22.9,15.5,19.5,17.4,56,14.5,4.4
2015-01-13,Koppal,27.3,21.6,25.5,8.2,57,8.5,5.5
2015-01-13,Ballari,24.5,16.8,20.1,3.2,54,14.0,9.1
2015-01-13,Raichur,28.3,21.0,25.6,17.2,77,5.0,3.5
2015-01-13,Mandya,23.0,18.7,22.2,16.3,42,6.6,7.1
2015-01-13,Mysuru,21.6,11.2,19.0,5.6,42,14.4,2.2
2015-01-13,Hassan,24.3,19.5,22.9,17.9,63,14.0,8.3
2015-01-13,Davanagere,26.7,15.6,23.2,5.0,46,4.7,11.9
2015-01-13,Shivamogga,24.8,17.3,24.6,1.0,67,12.0,6.8
2015-01-13,Dharwad,27.1,15.9,22.9,4.3,55,15.0,3.8
2015-01-13,Belagavi,22.8,13.6,19.3,10.2,78,3.9,5.4
2015-01-14,Koppal,22.6,14.5,18.2,10.1,51,13.0,2.2
2015-01-14,Ballari,22.2,16.8,22.1,8.2,75,9.3,4.8
2015-01-14,Raichur,22.2,12.2,18.2,6.7,42,4.7,6.3
2015-01-14,Mandya,23.5,15.9,21.5,13.3,67,10.6,1.0
2015-01-14,Mysuru,25.9,17.0,24.8,5.0,63,5.7,4.3
2015-01-14,Hassan,23.7,16.9,20.1,11.9,87,11.0,8.3
2015-01-14,Davanagere,23.4,16.5,21.4,10.2,69,2.3,8.4
2015-01-14,Shivamogga,20.3,12.5,18.7,13.4,54,13.3,0.6
2015-01-14,Dharwad,23.9,18.5,23.4,1.8,79,10.2,0.1
2015-01-14,Belagavi,20.3,16.2,20.1,8.9,56,13.7,0.9
2015-01-15,Koppal,24.4,15.6,22.8,7.6,61,6.4,9.6
2015-01-15,Ballari,21.9,12.5,19.4,3.7,87,2.7,11.3
2015-01-15,Raichur,20.6,14.7,18.3,13.0,66,3.2,4.0
2015-01-15,Mandya,26.4,15.5,23.2,15.7,59,12.2,7.0
2015-01-15,Mysuru,25.1,19.4,23.8,8.7,59,10.5,11.5
2015-01-15,Hassan,24.7,18.7,24.6,14.5,59,13.0,9.8
2015-01-15,Davanagere,25.2,15.9,21.7,1.7,70,5.0,3.3
2015-01-15,Shivamogga,25.3,15.1,20.3,2.7,76,6.5,5.0
2015-01-15,Dharwad,21.0,16.3,20.5,18.1,53,13.1,5.5
2015-01-15,Belagavi,25.0,18.1,21.7,13.2,89,2.0,1.7
2015-01-16,Koppal,21.7,17.3,20.9,1.6,92,8.6,10.3
2015-01-16,Ballari,26.5,19.8,23.7,11.6,41,4.3,1.1
2015-01-16,Raichur,29.6,17.2,24.6,9.9,93,9.8,0.4
2015-01-16,Mandya,19.6,11.3,18.2,3.6,49,3.4,10.6
2015-01-16,Mysuru,23.4,18.6,22.3,5.2,81,6.0,1.8
2015-01-16,Hassan,21.4,17.0,20.0,1.1,61,15.0,4.4
2015-01-16,Davanagere,27.5,21.3,25.0,17.8,82,2.2,7.3
2015-01-16,Shivamogga,21.5,10.9,18.3,14.3,57,5.8,9.2
2015-01-16,Dharwad,25.9,18.7,21.8,3.1,53,13.9,5.1
2015-01-16,Belagavi,28.7,21.3,25.6,0.8,89,4.7,5.5
2015-01-17,Koppal,19.6,12.7,18.4,1.6,79,12.2,8.6
2015-01-17,Ballari,26.7,18.7,24.1,12.7,90,5.9,0.1
2015-01-17,Raichur,25.6,20.0,23.6,13.8,62,8.0,10.2
2015-01-17,Mandya,26.3,19.4,25.8,13.0,83,14.3,3.7
2015-01-17,Mysuru,27.6,18.0,22.8,11.5,88,7.4,8.3
2015-01-17,Hassan,25.7,14.7,20.9,10.9,89,14.2,1.3
2015-01-17,Davanagere,23.8,18.4,23.8,7.1,43,10.7,3.6
2015-01-17,Shivamogga,26.1,14.8,22.0,17.2,41,14.3,9.9
2015-01-17,Dharwad,18.7,12.4,18.2,17.3,76,8.7,11.2
2015-01-17,Belagavi,24.3,11.8,19.7,2.8,75,4.0,7.6
2015-01-18,Koppal,20.6,16.9,19.9,3.2,49,10.9,6.6
2015-01-18,Ballari,28.8,19.8,25.8,15.7,80,11.7,10.7
2015-01-18,Raichur,20.9,14.5,19.7,19.3,76,3.1,3.2
2015-01-18,Mandya,22.7,17.8,21.0,8.6,73,10.8,7.7
2015-01-18,Mysuru,23.9,16.8,23.8,19.4,71,4.4,9.8
2015-01-18,Hassan,29.0,20.7,24.2,5.8,47,3.6,11.5
2015-01-18,Davanagere,27.1,18.1,25.8,5.9,72,13.9,11.7
2015-01-18,Shivamogga,24.1,17.6,21.9,11.8,62,4.1,9.7
2015-01-18,Dharwad,24.4,15.5,21.5,14.5,94,14.1,9.3
2015-01-18,Belagavi,27.3,18.6,23.8,8.4,88,4.3,9.4
2015-01-19,Koppal,28.3,20.9,24.6,19.8,56,13.0,5.1
2015-01-19,Ballari,18.8,14.7,18.0,0.1,53,8.3,7.4
2015-01-19,Raichur,25.4,16.2,21.0,9.0,60,4.5,11.9
2015-01-19,Mandya,24.9,16.9,22.0,7.8,54,4.2,7.0
2015-01-19,Mysuru,24.5,14.3,19.8,18.8,44,8.6,4.9
2015-01-19,Hassan,25.6,18.5,22.0,16.5,71,3.8,11.9
2015-01-19,Davanagere,27.1,20.4,24.6,17.3,41,2.7,1.9
2015-01-19,Shivamogga,28.3,20.6,23.8,13.2,49,2.0,7.4
2015-01-19,Dharwad,24.3,15.1,20.2,14.1,66,6.1,0.1
2015-01-19,Belagavi,21.6,14.8,21.2,19.9,83,15.0,3.3
2015-01-20,Koppal,25.3,18.3,24.1,15.3,88,11.5,8.2
2015-01-20,Ballari,26.7,17.4,24.3,2.6,73,12.2,11.9
2015-01-20,Raichur,18.6,10.8,18.4,13.7,77,4.5,6.7
2015-01-20,Mandya,22.1,11.4,18.4,16.8,41,8.3,5.0
2015-01-20,Mysuru,24.5,19.7,22.8,19.3,75,7.8,8.3
2015-01-20,Hassan,22.0,11.2,19.0,2.7,92,12.1,2.5
2015-01-20,Davanagere,25.1,18.2,22.4,2.2,65,3.1,2.6
2015-01-20,Shivamogga,22.7,16.3,21.0,16.4,81,2.0,9.4
2015-01-20,Dharwad,26.6,22.2,25.8,14.9,73,7.2,1.7
2015-01-20,Belagavi,30.4,22.5,25.7,5.0,72,5.4,0.8
2015-01-21,Koppal,24.1,14.3,21.2,11.7,56,6.5,4.0
2015-01-21,Ballari,22.8,15.8,20.2,3.6,77,11.4,0.9
2015-01-21,Raichur,21.7,14.2,19.8,2.5,90,8.2,9.5
2015-01-21,Mandya,21.4,12.2,19.0,10.6,87,6.8,8.9
2015-01-21,Mysuru,25.6,15.3,22.2,6.3,73,5.5,2.1
2015-01-21,Hassan,28.1,19.2,23.6,15.2,91,10.3,0.1
2015-01-21,Davanagere,20.5,15.9,20.1,1.3,67,14.9,9.3
2015-01-21,Shivamogga,20.3,15.2,20.2,3.1,70,6.9,11.2
2015-01-21,Dharwad,27.8,20.4,23.9,19.9,93,12.2,1.5
2015-01-21,Belagavi,21.8,13.6,19.5,15.0,47,8.5,4.6
2015-01-22,Koppal,24.2,17.6,22.5,3.0,44,9.3,8.7
2015-01-22,Ballari,24.2,13.2,19.4,10.8,45,14.4,4.3
2015-01-22,Raichur,28.4,20.0,26.0,17.5,84,7.0,9.5
2015-01-22,Mandya,26.6,16.2,22.9,13.4,55,7.5,3.8
2015-01-22,Mysuru,25.9,17.3,24.0,0.4,87,6.5,10.9
2015-01-22,Hassan,28.2,17.9,25.4,9.9,72,2.5,3.4
2015-01-22,Davanagere,23.8,15.5,19.9,11.9,65,7.0,6.5
2015-01-22,Shivamogga,23.8,14.2,21.0,18.4,77,3.6,10.2
2015-01-22,Dharwad,28.3,17.3,25.1,7.9,95,3.4,3.5
2015-01-22,Belagavi,26.0,13.9,21.8,5.3,79,6.2,8.2
2015-01-23,Koppal,28.6,20.1,24.2,0.4,87,10.9,8.1
2015-01-23,Ballari,28.5,19.9,25.9,2.9,66,6.0,4.4
2015-01-23,Raichur,23.9,16.4,21.9,3.9,49,5.2,4.7
2015-01-23,Mandya,30.5,18.3,25.6,9.0,59,5.0,0.1
2015-01-23,Mysuru,27.3,18.6,24.8,19.5,88,10.7,4.8
2015-01-23,Hassan,24.4,18.1,23.1,1.6,80,10.8,1.8
2015-01-23,Davanagere,22.9,13.0,18.4,4.5,71,9.9,5.2
2015-01-23,Shivamogga,26.5,20.8,24.5,18.0,63,14.4,10.8
2015-01-23,Dharwad,27.4,18.2,25.9,6.6,66,7.6,8.8
2015-01-23,Belagavi,28.0,19.7,24.0,13.0,52,3.2,3.2
2015-01-24,Koppal,26.8,18.7,21.9,8.0,60,3.4,0.6
2015-01-24,Ballari,21.9,14.5,19.6,13.9,54,14.6,11.0
2015-01-24,Raichur,25.4,17.5,21.1,19.4,46,4.1,7.8
2015-01-24,Mandya,28.8,16.4,24.0,0.1,45,12.1,8.8
2015-01-24,Mysuru,22.1,13.1,20.4,0.8,75,4.4,3.9
2015-01-24,Hassan,24.7,19.3,24.3,8.0,60,4.9,4.0
2015-01-24,Davanagere,24.7,18.7,22.8,3.0,54,9.9,2.3
2015-01-24,Shivamogga,27.5,20.8,24.8,1.5,47,6.0,0.7
2015-01-24,Dharwad,28.3,19.9,24.1,11.7,78,2.5,9.5
2015-01-24,Belagavi,20.5,13.1,20.2,14.0,71,6.5,1.1
2015-01-25,Koppal,25.0,18.1,21.9,17.9,94,2.5,9.4
2015-01-25,Ballari,26.8,17.8,23.7,5.2,76,13.4,7.5
2015-01-25,Raichur,19.4,12.9,18.5,9.5,50,8.6,7.7
2015-01-25,Mandya,26.7,16.1,23.6,17.5,44,2.8,5.6
2015-01-25,Mysuru,21.9,13.2,18.6,17.5,79,12.3,0.2
2015-01-25,Hassan,21.1,15.1,19.8,15.5,50,10.5,6.1
2015-01-25,Davanagere,26.4,22.7,25.9,8.0,89,11.4,6.9
2015-01-25,Shivamogga,22.7,16.3,21.4,11.1,43,9.7,2.1
2015-01-25,Dharwad,22.2,13.1,18.4,2.3,48,14.4,4.1
2015-01-25,Belagavi,20.7,16.2,20.5,1.0,56,7.5,5.3
2015-01-26,Koppal,26.8,17.9,24.4,12.1,48,2.7,2.0
2015-01-26,Ballari,26.1,17.5,24.5,0.7,86,5.8,6.2
2015-01-26,Raichur,30.7,22.6,25.9,17.3,42,9.3,6.8
2015-01-26,Mandya,19.1,11.3,18.1,2.7,95,2.3,5.4
2015-01-26,Mysuru,21.7,12.5,20.0,8.9,50,5.7,4.1
2015-01-26,Hassan,23.5,13.4,20.7,19.5,48,8.3,11.0
2015-01-26,Davanagere,26.1,15.7,22.8,11.2,62,4.7,6.0
2015-01-26,Shivamogga,20.4,11.1,18.4,6.6,76,5.8,8.6
2015-01-26,Dharwad,22.0,15.3,20.4,6.0,69,7.4,7.3
2015-01-26,Belagavi,26.2,21.9,25.0,12.9,72,13.9,5.4
2015-01-27,Koppal,24.5,17.8,23.4,9.4,87,2.9,6.8
2015-01-27,Ballari,24.8,20.2,24.4,14.4,45,14.0,0.7
2015-01-27,Raichur,24.4,17.8,22.0,9.6,49,12.4,0.4
2015-01-27,Mandya,21.4,17.1,20.8,17.5,78,6.5,9.9
2015-01-27,Mysuru,27.4,19.0,24.7,12.3,81,5.8,3.5
2015-01-27,Hassan,24.9,18.3,22.9,18.9,93,3.1,1.5
2015-01-27,Davanagere,25.3,18.9,24.1,11.3,64,8.0,7.4
2015-01-27,Shivamogga,21.7,13.1,20.4,6.3,53,7.6,4.1
2015-01-27,Dharwad,21.7,12.6,20.2,17.4,80,3.2,9.0
2015-01-27,Belagavi,23.6,18.4,23.3,3.8,94,2.8,10.0
2015-01-28,Koppal,21.3,14.9,20.3,8.6,73,12.2,9.3
2015-01-28,Ballari,24.1,16.6,23.8,15.1,78,9.7,1.2
2015-01-28,Raichur,23.4,13.0,20.6,1.0,65,5.2,9.9
2015-01-28,Mandya,21.8,13.9,18.1,13.8,62,10.6,8.8
2015-01-28,Mysuru,22.9,13.5,20.9,7.8,73,2.2,4.6
2015-01-28,Hassan,21.9,15.0,18.0,12.2,72,6.3,10.9
2015-01-28,Davanagere,22.3,14.0,19.1,7.4,72,8.8,0.2
2015-01-28,Shivamogga,25.5,21.5,24.8,6.5,94,4.5,2.6
2015-01-28,Dharwad,23.3,16.5,19.7,14.5,43,11.1,11.1
2015-01-28,Belagavi,25.1,13.2,20.4,19.0,63,2.6,11.9
2015-01-29,Koppal,21.4,17.5,21.0,5.7,47,13.1,8.2
2015-01-29,Ballari,25.1,15.4,20.5,10.7,41,12.0,11.9
2015-01-29,Raichur,20.0,14.6,18.6,3.9,84,6.6,12.0
2015-01-29,Mandya,27.2,18.6,24.7,6.4,46,12.6,5.3
2015-01-29,Mysuru,20.2,13.8,18.5,9.8,68,9.8,0.2
2015-01-29,Hassan,23.4,14.0,21.1,5.5,67,13.9,3.1
2015-01-29,Davanagere,29.0,18.4,24.4,1.3,45,7.2,5.2
2015-01-29,Shivamogga,20.4,10.3,18.2,0.2,61,7.3,0.2
2015-01-29,Dharwad,24.7,17.7,20.9,6.5,88,14.4,9.4
2015-01-29,Belagavi,26.7,18.8,25.0,0.9,45,13.0,5.9
2015-01-30,Koppal,20.2,13.8,19.2,14.9,95,9.6,1.1
2015-01-30,Ballari,22.8,16.7,21.8,18.1,82,4.2,7.6
2015-01-30,Raichur,20.8,12.5,20.4,1.6,93,12.2,1.4
2015-01-30,Mandya,20.2,12.5,19.8,9.9,85,10.8,7.6
2015-01-30,Mysuru,24.5,17.4,23.5,16.9,50,4.5,10.9
2015-01-30,Hassan,27.8,18.1,23.8,9.0,54,5.4,11.8
2015-01-30,Davanagere,21.2,15.0,20.8,15.4,65,6.9,5.3
2015-01-30,Shivamogga,26.2,21.9,25.9,15.7,93,14.7,7.1
2015-01-30,Dharwad,28.5,18.1,24.9,15.7,94,6.6,0.7
2015-01-30,Belagavi,23.3,19.9,23.1,11.0,79,11.9,5.4
2015-01-31,Koppal,22.7,16.6,22.4,3.7,52,4.4,2.9
2015-01-31,Ballari,22.9,13.6,19.2,5.0,71,14.7,3.6
2015-01-31,Raichur,25.4,13.3,21.1,11.4,55,3.8,1.0
2015-01-31,Mandya,21.9,18.4,21.4,2.7,48,5.0,9.4
2015-01-31,Mysuru,26.5,18.4,24.8,13.0,86,10.4,2.7
2015-01-31,Hassan,23.5,17.3,22.5,4.1,81,6.7,5.4
2015-01-31,Davanagere,25.7,16.5,24.0,15.8,88,7.3,2.4
2015-01-31,Shivamogga,25.7,20.2,25.7,14.0,77,14.0,1.0
2015-01-31,Dharwad,26.4,17.3,23.7,19.9,73,4.4,5.8
2015-01-31,Belagavi,23.1,16.4,22.7,12.8,54,13.9,5.7
2015-02-01,Koppal,23.6,18.7,23.4,1.6,76,2.2,6.2
2015-02-01,Ballari,22.0,16.1,19.3,4.3,74,11.5,5.4
2015-02-01,Raichur,26.5,18.2,22.7,11.8,83,9.9,0.7
2015-02-01,Mandya,25.3,19.2,23.8,2.3,66,8.6,9.4
2015-02-01,Mysuru,21.7,14.8,19.6,11.7,66,9.7,5.9
2015-02-01,Hassan,22.7,14.6,20.8,9.3,64,4.1,6.7
2015-02-01,Davanagere,22.3,14.0,18.0,7.5,81,12.4,9.4
2015-02-01,Shivamogga,23.5,15.6,19.6,1.9,49,2.2,2.1
2015-02-01,Dharwad,21.0,14.5,18.1,6.8,57,9.0,9.5
2015-02-01,Belagavi,28.8,19.4,25.2,0.2,88,2.0,4.6
2015-02-02,Koppal,23.1,13.5,20.4,10.2,55,11.9,7.0
2015-02-02,Ballari,25.7,15.2,22.4,2.8,87,7.6,0.1
2015-02-02,Raichur,25.5,14.5,22.1,11.5,54,7.8,11.9
2015-02-02,Mandya,27.1,17.7,25.0,6.8,66,12.4,8.2
2015-02-02,Mysuru,21.6,11.8,18.4,9.7,58,10.8,4.4
2015-02-02,Hassan,24.5,18.0,21.2,5.1,65,7.8,9.7
2015-02-02,Davanagere,29.6,21.2,25.7,9.6,61,11.9,6.6
2015-02-02,Shivamogga,29.8,18.6,25.2,9.4,72,10.3,11.7
2015-02-02,Dharwad,28.4,19.7,24.2,6.7,56,13.5,1.6
2015-02-02,Belagavi,26.6,15.8,22.0,0.4,54,2.1,5.9
2015-02-03,Koppal,22.4,16.4,22.1,6.0,73,11.5,6.1
2015-02-03,Ballari,20.2,12.8,20.1,16.0,74,12.1,6.0
2015-02-03,Raichur,23.1,15.3,20.9,0.7,84,3.9,5.4
2015-02-03,Mandya,24.8,17.7,23.0,19.8,92,15.0,9.4
2015-02-03,Mysuru,29.9,22.6,25.8,19.9,87,6.7,5.6
2015-02-03,Hassan,25.2,17.9,24.4,0.5,62,10.4,2.0
2015-02-03,Davanagere,18.1,13.6,18.0,8.7,56,10.9,6.4
2015-02-03,Shivamogga,27.4,22.2,25.3,18.2,85,11.9,2.8
2015-02-03,Dharwad,23.4,14.8,22.5,1.0,52,12.4,9.2
2015-02-03,Belagavi,21.9,15.5,21.1,11.8,49,10.7,10.6
2015-02-04,Koppal,22.2,15.7,20.1,18.0,83,14.7,5.1
2015-02-04,Ballari,24.2,20.3,23.5,7.8,47,7.6,2.3
2015-02-04,Raichur,25.7,16.1,22.1,19.8,42,4.0,11.3
2015-02-04,Mandya,21.6,15.7,20.3,12.2,89,13.1,2.4
2015-02-04,Mysuru,24.3,16.3,20.8,5.3,61,8.1,2.0
2015-02-04,Hassan,27.5,17.4,24.1,4.1,85,8.9,1.4
2015-02-04,Davanagere,21.6,12.9,18.9,1.4,49,13.0,0.9
2015-02-04,Shivamogga,24.7,20.3,24.2,13.7,91,13.8,7.2
2015-02-04,Dharwad,21.7,16.3,21.0,0.7,44,11.0,8.3
2015-02-04,Belagavi,27.0,19.2,23.5,11.6,89,3.6,1.2
2015-02-05,Koppal,24.4,17.5,22.0,7.3,54,14.6,8.9
2015-02-05,Ballari,20.8,14.1,19.5,19.6,88,11.7,2.5
2015-02-05,Raichur,26.4,22.0,25.9,6.8,87,12.9,4.5
2015-02-05,Mandya,21.0,15.9,20.0,14.9,63,14.1,2.2
2015-02-05,Mysuru,26.5,18.7,24.9,6.1,55,8.1,10.4
2015-02-05,Hassan,21.4,10.8,18.4,19.3,85,2.2,7.0
2015-02-05,Davanagere,25.8,18.2,24.3,3.0,48,7.2,3.0
2015-02-05,Shivamogga,26.6,16.6,22.2,8.0,51,10.9,10.6
