Date,Variety,Price_Rs_per_Quintal,Market_Demand,Supply_Status
2015-03-05,Jyothi,1973,Medium,Deficit
2015-03-05,MTU-1010,2169,High,Deficit
2015-03-12,BPT-5204,2112,High,Surplus
2015-03-12,JGL-1798,2003,Medium,Surplus
2015-03-12,IR-64,1940,Low,Normal
2015-03-12,Jyothi,1860,Low,Surplus
2015-03-12,MTU-1010,2156,Medium,Normal
2015-03-19,BPT-5204,2175,Low,Normal
2015-03-19,JGL-1798,2131,Medium,Deficit
2015-03-19,IR-64,1949,Medium,Deficit
2015-03-19,Jyothi,1942,Medium,Deficit
2015-03-19,MTU-1010,2082,Low,Normal
2015-03-26,BPT-5204,2142,High,Deficit
2015-03-26,JGL-1798,2057,Medium,Normal
2015-03-26,IR-64,2060,High,Normal
2015-03-26,Jyothi,1812,Low,Deficit
2015-03-26,MTU-1010,2154,High,Surplus
2015-04-02,BPT-5204,2306,Low,Deficit
2015-04-02,JGL-1798,2193,Low,Deficit
2015-04-02,IR-64,1959,Low,Surplus
2015-04-02,Jyothi,1853,Medium,Deficit
2015-04-02,MTU-1010,2224,High,Deficit
2015-04-09,BPT-5204,2219,Medium,Normal
2015-04-09,JGL-1798,2174,Low,Deficit
2015-04-09,IR-64,2082,Low,Deficit
2015-04-09,Jyothi,1805,Medium,Deficit
2015-04-09,MTU-1010,2123,High,Deficit
2015-04-16,BPT-5204,2178,Low,Normal
2015-04-16,JGL-1798,2030,Low,Normal
2015-04-16,IR-64,2038,Medium,Deficit
2015-04-16,Jyothi,1968,High,Surplus
2015-04-16,MTU-1010,2088,High,Deficit
2015-04-23,BPT-5204,2132,Low,Normal
2015-04-23,JGL-1798,2108,High,Deficit
2015-04-23,IR-64,2023,High,Normal
2015-04-23,Jyothi,1819,Low,Surplus
2015-04-23,MTU-1010,2245,High,Deficit
2015-04-30,BPT-5204,2221,Medium,Normal
2015-04-30,JGL-1798,2200,Low,Surplus
2015-04-30,IR-64,1921,Medium,Surplus
2015-04-30,Jyothi,1863,Medium,Surplus
2015-04-30,MTU-1010,2194,Medium,Normal
2015-05-07,BPT-5204,2242,Low,Deficit
2015-05-07,JGL-1798,2067,Low,Surplus
2015-05-07,IR-64,1962,Medium,Surplus
2015-05-07,Jyothi,1899,Medium,Surplus
2015-05-07,MTU-1010,2088,High,Normal
2015-05-14,BPT-5204,2308,Medium,Deficit
2015-05-14,JGL-1798,2144,Medium,Deficit
2015-05-14,IR-64,1909,High,Surplus
2015-05-14,Jyothi,1994,High,Deficit
2015-05-14,MTU-1010,2066,Medium,Normal
2015-05-21,BPT-5204,2118,Low,Deficit
2015-05-21,JGL-1798,2009,Medium,Normal
2015-05-21,IR-64,1987,Medium,Surplus
2015-05-21,Jyothi,1829,Medium,Deficit
2015-05-21,MTU-1010,2248,Low,Surplus
2015-05-28,BPT-5204,2095,High,Normal
2015-05-28,JGL-1798,2077,High,Deficit
2015-05-28,IR-64,2048,Low,Surplus
2015-05-28,Jyothi,1904,Low,Deficit
2015-05-28,MTU-1010,2188,High,Normal
2015-06-04,BPT-5204,2379,Low,Surplus
2015-06-04,JGL-1798,2222,High,Deficit
2015-06-04,IR-64,2109,Low,Surplus
2015-06-04,Jyothi,1955,Medium,Deficit
2015-06-04,MTU-1010,2218,Medium,Normal
2015-06-11,BPT-5204,2436,Medium,Normal
2015-06-11,JGL-1798,2371,High,Deficit
2015-06-11,IR-64,2092,Medium,Surplus
2015-06-11,Jyothi,1985,Medium,Surplus
2015-06-11,MTU-1010,2220,High,Normal
2015-06-18,BPT-5204,2453,High,Deficit
2015-06-18,JGL-1798,2351,Low,Normal
2015-06-18,IR-64,2247,High,Surplus
2015-06-18,Jyothi,2024,Low,Normal
2015-06-18,MTU-1010,2233,Medium,Normal
2015-06-25,BPT-5204,2388,High,Normal
2015-06-25,JGL-1798,2241,Low,Surplus
2015-06-25,IR-64,2222,Medium,Deficit
2015-06-25,Jyothi,2000,Medium,Deficit
2015-06-25,MTU-1010,2424,Low,Normal
2015-07-02,BPT-5204,2457,Low,Normal
2015-07-02,JGL-1798,2169,Medium,Normal
2015-07-02,IR-64,2249,Low,Normal
2015-07-02,Jyothi,2030,Low,Deficit
2015-07-02,MTU-1010,2447,Medium,Surplus
2015-07-09,BPT-5204,2405,Low,Deficit
2015-07-09,JGL-1798,2306,Medium,Normal
2015-07-09,IR-64,2183,Low,Normal
2015-07-09,Jyothi,1980,Medium,Normal
2015-07-09,MTU-1010,2323,High,Deficit
2015-07-16,BPT-5204,2354,High,Normal
2015-07-16,JGL-1798,2210,High,Surplus
2015-07-16,IR-64,2184,High,Surplus
2015-07-16,Jyothi,2012,High,Deficit
2015-07-16,MTU-1010,2432,Low,Surplus
2015-07-23,BPT-5204,2292,High,Surplus
2015-07-23,JGL-1798,2210,Medium,Surplus
2015-07-23,IR-64,2172,Low,Normal
2015-07-23,Jyothi,2132,Low,Surplus
2015-07-23,MTU-1010,2366,Medium,Deficit
2015-07-30,BPT-5204,2363,High,Normal
2015-07-30,JGL-1798,2354,Low,Surplus
2015-07-30,IR-64,2146,Medium,Deficit
2015-07-30,Jyothi,2033,High,Surplus
2015-07-30,MTU-1010,2316,Low,Deficit
2015-08-06,BPT-5204,2333,High,Surplus
2015-08-06,JGL-1798,2321,High,Deficit
2015-08-06,IR-64,2245,High,Surplus
2015-08-06,Jyothi,2054,High,Normal
2015-08-06,MTU-1010,2440,Medium,Surplus
2015-08-13,BPT-5204,2359,Medium,Deficit
2015-08-13,JGL-1798,2320,Low,Deficit
2015-08-13,IR-64,2096,Low,Surplus
2015-08-13,Jyothi,2007,Medium,Normal
2015-08-13,MTU-1010,2339,Low,Normal
2015-08-20,BPT-5204,2319,High,Normal
2015-08-20,JGL-1798,2224,High,Surplus
2015-08-20,IR-64,2123,Medium,Deficit
2015-08-20,Jyothi,2120,Low,Surplus
2015-08-20,MTU-1010,2340,Medium,Normal
2015-08-27,BPT-5204,2352,Low,Normal
2015-08-27,JGL-1798,2250,Low,Normal
2015-08-27,IR-64,2196,Low,Normal
2015-08-27,Jyothi,1985,Medium,Deficit
2015-08-27,MTU-1010,2316,Low,Deficit
2015-09-03,BPT-5204,2095,Medium,Deficit
2015-09-03,JGL-1798,2046,Low,Normal
2015-09-03,IR-64,1921,High,Normal
2015-09-03,Jyothi,1831,High,Surplus
2015-09-03,MTU-1010,2262,Medium,Surplus
2015-09-10,BPT-5204,2125,High,Normal
2015-09-10,JGL-1798,2017,High,Deficit
2015-09-10,IR-64,1987,Medium,Normal
2015-09-10,Jyothi,1980,Low,Surplus
2015-09-10,MTU-1010,2221,Medium,Deficit
2015-09-17,BPT-5204,2162,High,Deficit
2015-09-17,JGL-1798,2000,High,Surplus
2015-09-17,IR-64,1939,Medium,Deficit
2015-09-17,Jyothi,1816,Low,Deficit
2015-09-17,MTU-1010,2232,Low,Normal
2015-09-24,BPT-5204,2165,Low,Normal
2015-09-24,JGL-1798,2112,High,Deficit
2015-09-24,IR-64,1992,Medium,Deficit
2015-09-24,Jyothi,1900,Low,Deficit
2015-09-24,MTU-1010,2222,Medium,Surplus
2015-10-01,BPT-5204,2230,Low,Deficit
2015-10-01,JGL-1798,2099,Low,Surplus
2015-10-01,IR-64,1962,Medium,Deficit
2015-10-01,Jyothi,1837,Medium,Surplus
2015-10-01,MTU-1010,2169,High,Normal
2015-10-08,BPT-5204,2307,High,Surplus
2015-10-08,JGL-1798,2115,High,Surplus
2015-10-08,IR-64,1995,Medium,Surplus
2015-10-08,Jyothi,1887,Low,Surplus
2015-10-08,MTU-1010,2145,High,Deficit
2015-10-15,BPT-5204,2112,High,Normal
2015-10-15,JGL-1798,2189,Medium,Deficit
2015-10-15,IR-64,1956,High,Surplus
2015-10-15,Jyothi,1935,High,Deficit
2015-10-15,MTU-1010,2202,High,Deficit
2015-10-22,BPT-5204,2282,High,Surplus
2015-10-22,JGL-1798,2182,High,Normal
2015-10-22,IR-64,2021,Medium,Surplus
2015-10-22,Jyothi,1943,High,Deficit
2015-10-22,MTU-1010,2151,Low,Deficit
2015-10-29,BPT-5204,2123,Low,Surplus
2015-10-29,JGL-1798,2163,High,Normal
2015-10-29,IR-64,2031,Low,Normal
2015-10-29,Jyothi,1828,Low,Deficit
2015-10-29,MTU-1010,2267,Low,Surplus
2015-11-05,BPT-5204,1998,High,Deficit
2015-11-05,JGL-1798,2021,Low,Normal
2015-11-05,IR-64,1897,High,Normal
2015-11-05,Jyothi,1763,Low,Surplus
2015-11-05,MTU-1010,1964,Low,Normal
2015-11-12,BPT-5204,2039,Low,Normal
2015-11-12,JGL-1798,1865,Low,Surplus
2015-11-12,IR-64,1887,Medium,Deficit
2015-11-12,Jyothi,1689,Medium,Normal
2015-11-12,MTU-1010,1926,High,Normal
2015-11-19,BPT-5204,1959,Medium,Deficit
2015-11-19,JGL-1798,1951,Medium,Normal
2015-11-19,IR-64,1884,Medium,Surplus
2015-11-19,Jyothi,1799,Low,Surplus
2015-11-19,MTU-1010,1934,High,Normal
2015-11-26,BPT-5204,1950,Medium,Deficit
2015-11-26,JGL-1798,1884,High,Surplus
2015-11-26,IR-64,1833,High,Deficit
2015-11-26,Jyothi,1796,Low,Surplus
2015-11-26,MTU-1010,1930,Low,Deficit
2015-12-03,BPT-5204,2065,Medium,Normal
2015-12-03,JGL-1798,1917,High,Deficit
2015-12-03,IR-64,1765,Low,Deficit
2015-12-03,Jyothi,1669,High,Deficit
2015-12-03,MTU-1010,1913,Low,Normal
2015-12-10,BPT-5204,2058,High,Normal
2015-12-10,JGL-1798,1909,High,Surplus
2015-12-10,IR-64,1788,High,Normal
2015-12-10,Jyothi,1795,Low,Normal
2015-12-10,MTU-1010,2032,Low,Deficit
2015-12-17,BPT-5204,2055,Medium,Normal
2015-12-17,JGL-1798,1939,Medium,Surplus
2015-12-17,IR-64,1852,Medium,Deficit
2015-12-17,Jyothi,1813,High,Deficit
2015-12-17,MTU-1010,1929,Low,Surplus
2015-12-24,BPT-5204,1977,Medium,Deficit
2015-12-24,JGL-1798,2009,Medium,Surplus
2015-12-24,IR-64,1777,Low,Surplus
2015-12-24,Jyothi,1830,Medium,Deficit
2015-12-24,MTU-1010,1896,High,Normal
2015-12-31,BPT-5204,2089,Medium,Deficit
2015-12-31,JGL-1798,1971,Low,Normal
2015-12-31,IR-64,1847,Low,Normal
2015-12-31,Jyothi,1700,Low,Normal
2015-12-31,MTU-1010,1918,Low,Deficit
2016-01-07,BPT-5204,2158,High,Surplus
2016-01-07,JGL-1798,2037,High,Deficit
2016-01-07,IR-64,1924,Medium,Deficit
2016-01-07,Jyothi,1921,Low,Normal
2016-01-07,MTU-1010,2144,High,Normal
2016-01-14,BPT-5204,2125,High,Surplus
2016-01-14,JGL-1798,2022,High,Deficit
2016-01-14,IR-64,2011,Low,Deficit
2016-01-14,Jyothi,1852,Low,Normal
2016-01-14,MTU-1010,2057,Medium,Normal
2016-01-21,BPT-5204,2098,Medium,Normal
2016-01-21,JGL-1798,1949,Low,Deficit
2016-01-21,IR-64,2011,High,Normal
2016-01-21,Jyothi,1799,Low,Surplus
2016-01-21,MTU-1010,2040,High,Normal
2016-01-28,BPT-5204,2150,Medium,Deficit
2016-01-28,JGL-1798,2062,Medium,Normal
2016-01-28,IR-64,1911,High,Deficit
2016-01-28,Jyothi,1763,High,Normal
2016-01-28,MTU-1010,2018,Medium,Normal
2016-02-04,BPT-5204,2315,Medium,Normal
2016-02-04,JGL-1798,2225,Medium,Normal
2016-02-04,IR-64,2086,High,Normal
2016-02-04,Jyothi,1921,High,Normal
2016-02-04,MTU-1010,2305,High,Surplus
2016-02-11,BPT-5204,2204,Low,Surplus
2016-02-11,JGL-1798,2142,Low,Surplus
2016-02-11,IR-64,2052,High,Normal
2016-02-11,Jyothi,1984,Low,Deficit
2016-02-11,MTU-1010,2342,High,Deficit
2016-02-18,BPT-5204,2366,Low,Surplus
2016-02-18,JGL-1798,2245,Medium,Normal
2016-02-18,IR-64,2061,Medium,Normal
2016-02-18,Jyothi,2030,Low,Surplus
2016-02-18,MTU-1010,2361,Medium,Surplus
2016-02-25,BPT-5204,2401,High,Normal
2016-02-25,JGL-1798,2239,Low,Normal
2016-02-25,IR-64,2194,High,Normal
2016-02-25,Jyothi,1917,Medium,Deficit
2016-02-25,MTU-1010,2242,Low,Normal
2016-03-03,BPT-5204,2342,Medium,Surplus
2016-03-03,JGL-1798,2249,Low,Deficit
2016-03-03,IR-64,2073,Low,Normal
2016-03-03,Jyothi,2072,Low,Normal
2016-03-03,MTU-1010,2174,High,Normal
2016-03-10,BPT-5204,2361,Low,Deficit
2016-03-10,JGL-1798,2096,Low,Deficit
2016-03-10,IR-64,2054,High,Deficit
2016-03-10,Jyothi,2090,Medium,Surplus
2016-03-10,MTU-1010,2345,High,Surplus
2016-03-17,BPT-5204,2272,Medium,Deficit
2016-03-17,JGL-1798,2300,Medium,Surplus
2016-03-17,IR-64,2088,High,Normal
2016-03-17,Jyothi,1957,Low,Deficit
2016-03-17,MTU-1010,2236,High,Normal
2016-03-24,BPT-5204,2198,Medium,Deficit
2016-03-24,JGL-1798,2129,High,Surplus
2016-03-24,IR-64,2099,Low,Deficit
2016-03-24,Jyothi,1931,Medium,Surplus
2016-03-24,MTU-1010,2322,Low,Deficit
2016-03-31,BPT-5204,2203,Medium,Deficit
2016-03-31,JGL-1798,2276,High,Normal
2016-03-31,IR-64,2157,High,Deficit
2016-03-31,Jyothi,1912,Low,Normal
2016-03-31,MTU-1010,2358,High,Surplus
2016-04-07,BPT-5204,2211,Medium,Surplus
2016-04-07,JGL-1798,2138,Low,Normal
2016-04-07,IR-64,2044,Low,Normal
2016-04-07,Jyothi,2030,High,Surplus
2016-04-07,MTU-1010,2217,Medium,Deficit
2016-04-14,BPT-5204,2383,Low,Surplus
2016-04-14,JGL-1798,2095,Medium,Deficit
2016-04-14,IR-64,2033,Low,Normal
2016-04-14,Jyothi,1937,High,Deficit
2016-04-14,MTU-1010,2344,High,Normal
2016-04-21,BPT-5204,2415,Low,Normal
2016-04-21,JGL-1798,2197,Low,Surplus
2016-04-21,IR-64,2068,Low,Normal
2016-04-21,Jyothi,1945,Medium,Surplus
2016-04-21,MTU-1010,2174,Medium,Normal
2016-04-28,BPT-5204,2280,Low,Surplus
2016-04-28,JGL-1798,2128,Medium,Normal
2016-04-28,IR-64,2169,High,Normal
2016-04-28,Jyothi,2034,Low,Surplus
2016-04-28,MTU-1010,2240,Medium,Deficit
2016-05-05,BPT-5204,2276,Medium,Deficit
2016-05-05,JGL-1798,2117,High,Deficit
2016-05-05,IR-64,2027,Low,Deficit
2016-05-05,Jyothi,2041,Low,Surplus
2016-05-05,MTU-1010,2322,Medium,Deficit
2016-05-12,BPT-5204,2270,High,Surplus
2016-05-12,JGL-1798,2274,Low,Deficit
2016-05-12,IR-64,2025,High,Deficit
2016-05-12,Jyothi,1937,Medium,Deficit
2016-05-12,MTU-1010,2160,High,Surplus
2016-05-19,BPT-5204,2377,High,Deficit
2016-05-19,JGL-1798,2110,High,Surplus
2016-05-19,IR-64,2087,High,Deficit
2016-05-19,Jyothi,1981,Low,Surplus
2016-05-19,MTU-1010,2179,Low,Surplus
2016-05-26,BPT-5204,2367,Medium,Deficit
2016-05-26,JGL-1798,2104,Medium,Deficit
2016-05-26,IR-64,2067,Medium,Deficit
2016-05-26,Jyothi,1965,Low,Surplus
2016-05-26,MTU-1010,2195,Low,Deficit
2016-06-02,BPT-5204,2492,Medium,Deficit
2016-06-02,JGL-1798,2383,Low,Deficit
2016-06-02,IR-64,2242,Low,Surplus
2016-06-02,Jyothi,2075,Medium,Surplus
2016-06-02,MTU-1010,2522,High,Surplus
2016-06-09,BPT-5204,2394,Low,Normal
2016-06-09,JGL-1798,2402,Low,Deficit
2016-06-09,IR-64,2214,Medium,Surplus
2016-06-09,Jyothi,2085,High,Surplus
2016-06-09,MTU-1010,2444,High,Normal
2016-06-16,BPT-5204,2550,High,Surplus
2016-06-16,JGL-1798,2269,Low,Normal
2016-06-16,IR-64,2346,Low,Deficit
2016-06-16,Jyothi,2076,Medium,Surplus
2016-06-16,MTU-1010,2511,High,Deficit
2016-06-23,BPT-5204,2400,High,Deficit
2016-06-23,JGL-1798,2458,Low,Normal
2016-06-23,IR-64,2155,Medium,Surplus
2016-06-23,Jyothi,2219,Low,Surplus
2016-06-23,MTU-1010,2565,Low,Surplus
2016-06-30,BPT-5204,2597,Medium,Deficit
2016-06-30,JGL-1798,2305,High,Normal
2016-06-30,IR-64,2268,High,Normal
2016-06-30,Jyothi,2151,High,Normal
2016-06-30,MTU-1010,2412,Low,Deficit
2016-07-07,BPT-5204,2537,High,Normal
2016-07-07,JGL-1798,2477,Medium,Normal
2016-07-07,IR-64,2373,High,Surplus
2016-07-07,Jyothi,2198,High,Deficit
2016-07-07,MTU-1010,2401,Low,Surplus
2016-07-14,BPT-5204,2481,Medium,Surplus
2016-07-14,JGL-1798,2479,Low,Normal
2016-07-14,IR-64,2264,Medium,Deficit
2016-07-14,Jyothi,2170,High,Deficit
2016-07-14,MTU-1010,2487,Medium,Deficit
2016-07-21,BPT-5204,2592,Medium,Normal
2016-07-21,JGL-1798,2393,Low,Normal
2016-07-21,IR-64,2362,Low,Normal
2016-07-21,Jyothi,2085,Low,Surplus
2016-07-21,MTU-1010,2384,Low,Surplus
2016-07-28,BPT-5204,2427,Low,Normal
2016-07-28,JGL-1798,2400,Low,Deficit
2016-07-28,IR-64,2226,High,Deficit
2016-07-28,Jyothi,2079,High,Surplus
2016-07-28,MTU-1010,2382,High,Normal
2016-08-04,BPT-5204,2590,High,Surplus
2016-08-04,JGL-1798,2336,Low,Surplus
2016-08-04,IR-64,2244,High,Normal
2016-08-04,Jyothi,2179,Medium,Normal
2016-08-04,MTU-1010,2564,Medium,Deficit
2016-08-11,BPT-5204,2458,Low,Normal
2016-08-11,JGL-1798,2295,High,Surplus
2016-08-11,IR-64,2267,Medium,Normal
2016-08-11,Jyothi,2177,High,Deficit
2016-08-11,MTU-1010,2456,Low,Surplus
2016-08-18,BPT-5204,2486,Medium,Surplus
2016-08-18,JGL-1798,2417,Medium,Surplus
2016-08-18,IR-64,2264,Medium,Normal
2016-08-18,Jyothi,2106,Medium,Normal
2016-08-18,MTU-1010,2505,High,Surplus
2016-08-25,BPT-5204,2449,Medium,Surplus
2016-08-25,JGL-1798,2378,High,Deficit
2016-08-25,IR-64,2235,Medium,Deficit
2016-08-25,Jyothi,2258,Low,Normal
2016-08-25,MTU-1010,2458,Medium,Normal
2016-09-01,BPT-5204,2320,High,Surplus
2016-09-01,JGL-1798,2128,Medium,Surplus
2016-09-01,IR-64,2053,Low,Normal
2016-09-01,Jyothi,2085,High,Surplus
2016-09-01,MTU-1010,2293,Medium,Surplus
2016-09-08,BPT-5204,2376,Medium,Surplus
2016-09-08,JGL-1798,2299,Low,Normal
2016-09-08,IR-64,2042,Medium,Deficit
2016-09-08,Jyothi,2027,High,Surplus
2016-09-08,MTU-1010,2372,Low,Surplus
2016-09-15,BPT-5204,2200,Medium,Surplus
2016-09-15,JGL-1798,2257,High,Surplus
2016-09-15,IR-64,2186,High,Surplus
2016-09-15,Jyothi,1932,Low,Deficit
2016-09-15,MTU-1010,2281,Medium,Surplus
2016-09-22,BPT-5204,2336,Medium,Deficit
2016-09-22,JGL-1798,2302,High,Deficit
2016-09-22,IR-64,2106,Medium,Normal
2016-09-22,Jyothi,2069,Low,Surplus
2016-09-22,MTU-1010,2306,Low,Deficit
2016-09-29,BPT-5204,2239,Medium,Deficit
2016-09-29,JGL-1798,2156,High,Normal
2016-09-29,IR-64,2082,Medium,Normal
2016-09-29,Jyothi,2041,Medium,Normal
2016-09-29,MTU-1010,2313,Low,Surplus
2016-10-06,BPT-5204,2313,Medium,Surplus
2016-10-06,JGL-1798,2221,Medium,Normal
2016-10-06,IR-64,2164,High,Normal
2016-10-06,Jyothi,1907,Low,Surplus
2016-10-06,MTU-1010,2359,High,Surplus
2016-10-13,BPT-5204,2267,High,Surplus
2016-10-13,JGL-1798,2283,High,Normal
2016-10-13,IR-64,2139,High,Surplus
2016-10-13,Jyothi,2091,Medium,Normal
2016-10-13,MTU-1010,2360,High,Surplus
2016-10-20,BPT-5204,2209,High,Normal
2016-10-20,JGL-1798,2268,Low,Normal
2016-10-20,IR-64,2022,Medium,Deficit
2016-10-20,Jyothi,2067,Low,Surplus
2016-10-20,MTU-1010,2176,Low,Normal
2016-10-27,BPT-5204,2233,Medium,Normal
2016-10-27,JGL-1798,2246,Medium,Normal
2016-10-27,IR-64,2052,Low,Surplus
2016-10-27,Jyothi,2089,Low,Deficit
2016-10-27,MTU-1010,2212,Medium,Deficit
2016-11-03,BPT-5204,2149,Low,Normal
2016-11-03,JGL-1798,1982,Medium,Deficit
2016-11-03,IR-64,1951,High,Normal
2016-11-03,Jyothi,1920,Medium,Surplus
2016-11-03,MTU-1010,2016,High,Deficit
2016-11-10,BPT-5204,2170,Low,Surplus
2016-11-10,JGL-1798,2117,Medium,Surplus
2016-11-10,IR-64,1954,High,Normal
2016-11-10,Jyothi,1898,High,Normal
2016-11-10,MTU-1010,1997,High,Deficit
2016-11-17,BPT-5204,2225,Low,Normal
2016-11-17,JGL-1798,1954,High,Normal
2016-11-17,IR-64,1996,Medium,Normal
2016-11-17,Jyothi,1812,Low,Deficit
2016-11-17,MTU-1010,2169,Low,Surplus
2016-11-24,BPT-5204,2208,Medium,Deficit
2016-11-24,JGL-1798,2118,Medium,Deficit
2016-11-24,IR-64,2024,High,Normal
2016-11-24,Jyothi,1823,High,Deficit
2016-11-24,MTU-1010,2049,Low,Deficit
2016-12-01,BPT-5204,2049,Low,Deficit
2016-12-01,JGL-1798,2080,Medium,Deficit
2016-12-01,IR-64,1896,High,Surplus
2016-12-01,Jyothi,1910,Medium,Normal
2016-12-01,MTU-1010,2124,High,Deficit
2016-12-08,BPT-5204,2063,High,Surplus
2016-12-08,JGL-1798,2035,High,Normal
2016-12-08,IR-64,2017,Low,Surplus
2016-12-08,Jyothi,1810,Medium,Normal
2016-12-08,MTU-1010,2132,Low,Normal
2016-12-15,BPT-5204,2118,High,Normal
2016-12-15,JGL-1798,1953,Low,Deficit
2016-12-15,IR-64,1861,Medium,Deficit
2016-12-15,Jyothi,1827,High,Surplus
2016-12-15,MTU-1010,2139,Medium,Deficit
2016-12-22,BPT-5204,2070,High,Surplus
2016-12-22,JGL-1798,2116,Medium,Deficit
2016-12-22,IR-64,1857,High,Surplus
2016-12-22,Jyothi,1878,High,Normal
2016-12-22,MTU-1010,2136,Medium,Normal
2016-12-29,BPT-5204,2094,High,Deficit
2016-12-29,JGL-1798,2051,High,Surplus
2016-12-29,IR-64,2000,Medium,Deficit
2016-12-29,Jyothi,1805,Medium,Surplus
2016-12-29,MTU-1010,2148,High,Deficit
2017-01-05,BPT-5204,2309,Low,Deficit
2017-01-05,JGL-1798,2154,High,Deficit
2017-01-05,IR-64,2103,Low,Surplus
2017-01-05,Jyothi,1881,High,Deficit
2017-01-05,MTU-1010,2098,Medium,Deficit
2017-01-12,BPT-5204,2243,Medium,Normal
2017-01-12,JGL-1798,2092,Low,Surplus
2017-01-12,IR-64,1926,Medium,Normal
2017-01-12,Jyothi,1873,High,Deficit
2017-01-12,MTU-1010,2189,Medium,Surplus
2017-01-19,BPT-5204,2263,Low,Surplus
2017-01-19,JGL-1798,2100,High,Surplus
2017-01-19,IR-64,1926,Medium,Deficit
2017-01-19,Jyothi,1874,High,Deficit
2017-01-19,MTU-1010,2229,Low,Surplus
2017-01-26,BPT-5204,2142,High,Surplus
2017-01-26,JGL-1798,2035,High,Normal
2017-01-26,IR-64,2000,Low,Deficit
2017-01-26,Jyothi,1906,Medium,Surplus
2017-01-26,MTU-1010,2225,Low,Deficit
2017-02-02,BPT-5204,2325,Medium,Deficit
2017-02-02,JGL-1798,2377,Medium,Normal
2017-02-02,IR-64,2132,Low,Normal
2017-02-02,Jyothi,2185,Low,Normal
2017-02-02,MTU-1010,2392,Medium,Normal
2017-02-09,BPT-5204,2344,Medium,Surplus
2017-02-09,JGL-1798,2363,High,Normal
2017-02-09,IR-64,2250,Medium,Normal
2017-02-09,Jyothi,2066,Low,Deficit
2017-02-09,MTU-1010,2477,Low,Surplus
2017-02-16,BPT-5204,2464,High,Surplus
2017-02-16,JGL-1798,2415,Low,Normal
2017-02-16,IR-64,2280,High,Deficit
2017-02-16,Jyothi,1992,High,Normal
2017-02-16,MTU-1010,2432,High,Deficit
2017-02-23,BPT-5204,2358,High,Surplus
2017-02-23,JGL-1798,2325,High,Deficit
2017-02-23,IR-64,2103,Low,Normal
2017-02-23,Jyothi,2102,High,Normal
2017-02-23,MTU-1010,2425,Medium,Deficit
2017-03-02,BPT-5204,2377,High,Deficit
2017-03-02,JGL-1798,2239,Low,Surplus
2017-03-02,IR-64,2158,Low,Deficit
2017-03-02,Jyothi,2190,Medium,Surplus
2017-03-02,MTU-1010,2477,High,Normal
2017-03-09,BPT-5204,2372,High,Normal
2017-03-09,JGL-1798,2213,Low,Surplus
2017-03-09,IR-64,2186,Low,Surplus
2017-03-09,Jyothi,2072,Medium,Normal
2017-03-09,MTU-1010,2406,Medium,Surplus
2017-03-16,BPT-5204,2469,Low,Normal
2017-03-16,JGL-1798,2312,Medium,Normal
2017-03-16,IR-64,2178,Medium,Deficit
2017-03-16,Jyothi,2136,High,Normal
