Year,Numeric_Year,Season,District,Region,Soil_Quality,Area_Hectares,Production_Tonnes,Yield_Kg_per_Ha,Irrigation_Percent,Rainfall_mm,Temperature_Celsius,Humidity_Percent,Soil_pH,Soil_Organic_Carbon_Percent,Soil_Nitrogen_kg_per_ha,Soil_Phosphorus_kg_per_ha,Soil_Potassium_kg_per_ha,Urea_Applied_kg_per_ha,DAP_Applied_kg_per_ha,Potash_Applied_kg_per_ha,Organic_Fertilizer_kg_per_ha,Pest_Incidence,Disease_Incidence,Pesticide_Sprays,Seed_Variety,Sowing_Method,Water_Management,Weed_Management,Labor_Days_per_ha,Tractor_Hours_per_ha,Harvester_Used,Cost_of_Cultivation_Rs_per_ha,Market_Price_Rs_per_quintal,Gross_Revenue_Rs_per_ha,Net_Income_Rs_per_ha
2009-10,2009,Rabi,Dharwad,North,medium,13673,33840,2475,67,296,28.9,82,6.32,0.51,199.6,19.3,109.3,153,99,79,1696,High,Low,6,Jyothi,Direct Seeding,Flood Irrigation,Herbicide,118,39,No,48730,2351,58187,9457
2009-10,2009,Kharif,Gadag,North,medium,51342,165013,3214,60,1017,31.0,75,6.33,0.52,154.4,16.7,201.9,151,71,59,761,High,High,2,Jyothi,SRI,Sprinkler,Mixed,83,17,No,39446,2272,73022,33576
2009-10,2009,Rabi,Gadag,North,medium,14667,34467,2350,60,294,25.3,74,6.49,0.68,206.9,25.0,224.8,132,60,60,539,High,High,2,IR-64,Transplanting,Sprinkler,Manual,85,39,Yes,43102,2004,47094,3992
2009-10,2009,Kharif,Hassan,South,medium,55248,156351,2830,68,556,24.4,75,7.0,0.58,182.7,24.0,215.0,121,64,79,835,Medium,Low,6,BPT-5204,Direct Seeding,Sprinkler,Mixed,128,27,Yes,37490,2406,68089,30599
2009-10,2009,Rabi,Hassan,South,medium,26341,86609,3288,68,224,23.0,84,6.45,0.64,270.8,25.9,184.9,105,94,64,1377,High,Medium,2,Intan,SRI,Drip,Manual,133,30,Yes,49205,2170,71349,22144
2009-10,2009,Kharif,Haveri,North,medium,46573,161049,3458,62,870,29.1,73,6.26,0.56,247.6,22.3,237.9,199,111,59,1392,High,High,4,IR-64,Transplanting,Flood Irrigation,Herbicide,137,22,No,53672,2424,83821,30149
2009-10,2009,Rabi,Haveri,North,medium,25826,69678,2698,62,114,26.9,70,6.27,0.41,269.7,16.8,232.0,189,85,65,520,High,Low,2,JGL-1798,SRI,Drip,Herbicide,110,37,No,51083,2258,60920,9837
2009-10,2009,Kharif,Kalaburagi,North,medium-low,53276,115555,2169,57,701,24.2,82,6.36,0.63,205.4,21.1,151.6,195,120,51,1220,High,Medium,4,IR-64,Direct Seeding,Flood Irrigation,Manual,104,25,Yes,52559,1989,43141,-9417
2009-10,2009,Rabi,Kalaburagi,North,medium-low,14893,31260,2099,57,347,24.8,78,7.46,0.56,192.4,12.0,129.1,129,96,41,1119,Low,High,6,JGL-1798,Direct Seeding,Flood Irrigation,Manual,150,24,Yes,51085,1905,39985,-11099
2009-10,2009,Kharif,Kodagu,South,low,56676,103887,1833,48,691,26.7,74,6.51,0.78,187.9,27.2,117.1,108,101,61,651,High,High,2,JGL-1798,Transplanting,Sprinkler,Herbicide,90,22,Yes,53286,2226,40802,-12483
2009-10,2009,Rabi,Kodagu,South,low,24406,48787,1999,48,215,29.8,72,6.68,0.52,279.0,29.8,145.8,179,57,69,703,Low,High,3,IR-64,SRI,Flood Irrigation,Manual,110,20,Yes,40129,1802,36021,-4107
2009-10,2009,Kharif,Kolar,South,medium,36901,102105,2767,61,1008,26.7,61,6.35,0.65,255.4,19.1,203.1,133,75,57,735,High,Low,3,IR-64,Transplanting,Flood Irrigation,Manual,101,40,No,54498,2382,65909,11411
2009-10,2009,Rabi,Kolar,South,medium,17119,42711,2495,61,339,28.9,82,6.6,0.44,231.0,18.8,189.7,155,91,68,1012,Low,Low,3,Rasi,SRI,Sprinkler,Manual,114,33,Yes,40740,2281,56910,16170
2009-10,2009,Kharif,Koppal,North,high,83213,416481,5005,85,684,23.8,78,6.65,0.71,295.4,19.4,161.3,141,63,40,1175,Medium,High,5,IR-64,SRI,Drip,Mixed,84,29,Yes,45306,2058,103002,57696
2009-10,2009,Rabi,Koppal,North,high,35830,137300,3832,85,306,30.6,60,6.99,0.57,212.0,13.8,154.3,196,113,70,1405,Low,Low,4,Intan,Transplanting,Drip,Herbicide,142,18,Yes,54951,2045,78364,23413
2009-10,2009,Kharif,Mandya,South,high,99470,441746,4441,90,964,22.1,73,6.14,0.8,286.9,19.2,117.6,119,113,75,1097,High,High,4,Jyothi,Direct Seeding,Drip,Manual,138,32,Yes,47569,1995,88597,41028
2009-10,2009,Rabi,Mandya,South,high,48496,217601,4487,90,169,30.6,68,7.16,0.73,201.0,25.8,140.1,100,86,76,1111,High,High,5,MTU-1010,Transplanting,Drip,Mixed,141,26,No,53085,2356,105713,52628
2009-10,2009,Kharif,Mysuru,South,medium,35568,119366,3356,70,729,30.7,82,6.36,0.49,278.4,18.2,147.7,160,98,54,1859,High,Low,5,BPT-5204,Transplanting,Sprinkler,Mixed,122,18,No,38267,2338,78463,40196
2009-10,2009,Rabi,Mysuru,South,medium,31383,95341,3038,70,173,26.1,80,7.45,0.34,267.2,15.3,193.5,150,60,51,1881,High,Medium,4,Rasi,SRI,Drip,Mixed,84,34,Yes,42692,2446,74309,31617
2009-10,2009,Kharif,Raichur,North,high,97307,511056,5252,82,632,29.5,73,7.47,0.68,255.6,12.0,125.0,138,53,32,1164,Low,Medium,4,IR-64,Direct Seeding,Flood Irrigation,Manual,147,28,Yes,40570,1979,103937,63367
2009-10,2009,Rabi,Raichur,North,high,24622,107302,4358,82,295,28.2,67,6.75,0.59,184.8,22.8,168.9,185,51,59,1089,High,High,3,BPT-5204,Direct Seeding,Drip,Mixed,118,35,No,43195,2267,98795,55600
2009-10,2009,Kharif,Ramanagara,South,medium,55507,156751,2824,66,793,30.5,63,6.36,0.59,236.2,29.9,144.3,184,100,47,516,High,High,2,Intan,SRI,Drip,Herbicide,109,34,No,42176,2451,69216,27040
2009-10,2009,Rabi,Ramanagara,South,medium,14860,41830,2815,66,170,28.3,80,6.97,0.45,216.1,21.6,209.9,111,87,50,1350,Low,Low,3,MTU-1010,SRI,Drip,Mixed,144,23,Yes,43420,2293,64547,21127
2009-10,2009,Kharif,Shivamogga,Central,high,64144,308276,4806,75,746,30.0,74,7.44,0.37,295.0,27.2,208.6,150,96,35,1308,Low,Medium,6,BPT-5204,Direct Seeding,Drip,Mixed,113,33,No,47172,1910,91794,44622
2009-10,2009,Rabi,Shivamogga,Central,high,51958,193595,3726,75,112,28.2,77,6.49,0.61,247.1,22.7,169.6,189,88,71,1336,Low,Low,2,BPT-5204,Direct Seeding,Drip,Manual,92,22,Yes,47735,2264,84356,36621
2009-10,2009,Kharif,Tumakuru,South,medium,35304,107994,3059,64,1160,29.0,77,6.63,0.67,173.2,18.3,114.9,162,102,47,567,High,Medium,3,Jyothi,Direct Seeding,Flood Irrigation,Herbicide,92,36,No,52841,2460,75251,22410
2009-10,2009,Rabi,Tumakuru,South,medium,18727,42809,2286,64,241,23.9,63,7.42,0.71,163.8,14.2,195.9,102,56,80,1183,Low,Low,6,JGL-1798,Transplanting,Sprinkler,Manual,107,22,No,39835,2410,55092,15257
2009-10,2009,Kharif,Udupi,Coastal,medium-low,19619,43593,2222,52,548,31.9,77,6.38,0.39,249.2,10.5,102.2,200,80,67,1163,Low,Low,4,BPT-5204,Transplanting,Sprinkler,Herbicide,147,18,Yes,50605,2259,50194,-410
2009-10,2009,Rabi,Udupi,Coastal,medium-low,28345,58532,2065,52,155,26.5,67,7.42,0.32,267.5,27.3,178.2,158,53,33,1480,Medium,Medium,2,Jyothi,SRI,Drip,Manual,90,25,Yes,37152,1929,39833,2681
2009-10,2009,Kharif,Uttara Kannada,Coastal,medium-low,31214,74351,2382,50,999,27.5,70,6.57,0.6,194.2,20.1,164.5,189,64,71,1833,High,High,3,Jyothi,Direct Seeding,Flood Irrigation,Herbicide,123,29,No,48631,1897,45186,-3444
2009-10,2009,Rabi,Uttara Kannada,Coastal,medium-low,17668,35901,2032,50,230,25.7,64,7.03,0.54,163.7,11.7,164.8,195,97,38,1639,Low,High,6,Intan,Direct Seeding,Sprinkler,Manual,132,26,No,36685,2094,42550,5865
2009-10,2009,Kharif,Vijayapura,North,medium-low,45076,105748,2346,56,506,27.8,66,6.23,0.54,277.1,17.0,183.4,114,85,66,963,Medium,High,6,Intan,SRI,Sprinkler,Mixed,83,34,No,35948,1984,46544,10596
2009-10,2009,Rabi,Vijayapura,North,medium-low,16767,40006,2386,56,258,31.2,71,6.01,0.73,234.9,18.0,121.3,181,53,35,1586,Low,Medium,5,Jyothi,Direct Seeding,Flood Irrigation,Herbicide,119,38,No,53598,2410,57502,3904
2009-10,2009,Kharif,Yadgir,North,medium-low,23117,59433,2571,51,559,23.6,79,6.07,0.34,216.5,18.5,191.1,153,84,43,1549,Low,Medium,5,BPT-5204,Direct Seeding,Sprinkler,Mixed,142,31,No,36488,2025,52062,15574
2009-10,2009,Rabi,Yadgir,North,medium-low,19565,46740,2389,51,128,22.1,69,7.42,0.68,264.6,15.8,118.0,163,105,41,764,Medium,High,3,Intan,SRI,Sprinkler,Herbicide,89,27,Yes,49294,1819,43455,-5838
2010-11,2010,Kharif,Bagalkot,North,medium,38615,140597,3641,69,720,27.8,78,6.61,0.62,193.4,18.1,244.9,121,108,74,1241,Low,Medium,2,JGL-1798,Direct Seeding,Sprinkler,Herbicide,147,17,No,45167,2147,78172,33005
2010-11,2010,Rabi,Bagalkot,North,medium,15394,42826,2782,69,186,22.8,80,6.17,0.55,285.9,17.0,209.1,182,68,45,710,Low,Medium,3,JGL-1798,SRI,Flood Irrigation,Mixed,89,20,No,50202,2377,66128,15926
2010-11,2010,Kharif,Ballari,North,high,102493,479667,4680,80,1097,31.2,78,6.96,0.79,198.5,29.4,147.4,156,58,60,1405,High,Medium,4,Intan,Transplanting,Drip,Mixed,89,24,No,49808,1838,86018,36210
2010-11,2010,Rabi,Ballari,North,high,23326,92720,3975,80,246,22.8,62,6.92,0.55,219.4,21.1,218.8,105,107,66,1834,Low,Medium,6,Jyothi,SRI,Flood Irrigation,Manual,137,18,No,37763,2316,92061,54298
2010-11,2010,Kharif,Belagavi,North,medium-low,46458,108479,2335,58,653,29.1,74,6.79,0.6,204.6,28.4,158.1,199,93,73,1724,Low,High,4,BPT-5204,Direct Seeding,Flood Irrigation,Mixed,129,24,No,54749,1953,45602,-9146
2010-11,2010,Rabi,Belagavi,North,medium-low,17927,36768,2051,58,172,31.2,69,7.45,0.65,208.8,21.9,240.7,139,98,71,1172,Low,High,6,BPT-5204,SRI,Sprinkler,Herbicide,145,26,Yes,46881,2116,43399,-3481
2010-11,2010,Kharif,Bengaluru Rural,South,medium,26851,87937,3275,63,749,31.5,75,6.29,0.8,173.2,15.9,218.2,164,119,77,1578,Low,High,4,MTU-1010,SRI,Flood Irrigation,Mixed,128,19,Yes,40925,2439,79877,38952
2010-11,2010,Rabi,Bengaluru Rural,South,medium,28707,84025,2927,63,324,22.4,71,7.01,0.42,216.6,15.7,212.3,157,79,64,989,Medium,Medium,3,IR-64,SRI,Sprinkler,Herbicide,139,39,No,47513,2314,67730,20217
2010-11,2010,Kharif,Bidar,North,medium-low,41463,98764,2382,54,565,30.2,85,6.91,0.74,157.8,19.6,155.7,113,116,37,1083,Low,Low,4,Jyothi,SRI,Flood Irrigation,Herbicide,91,22,No,46455,1827,43519,-2935
2010-11,2010,Rabi,Bidar,North,medium-low,19775,37888,1916,54,357,25.7,72,7.49,0.49,154.2,28.6,225.9,183,92,80,799,Low,Low,4,MTU-1010,Direct Seeding,Sprinkler,Manual,140,29,Yes,37596,1819,34852,-2743
2010-11,2010,Kharif,Chamarajanagar,South,medium,30036,75450,2512,60,553,27.5,83,6.91,0.51,266.4,14.8,118.3,130,103,70,1775,Medium,Low,2,MTU-1010,Direct Seeding,Sprinkler,Mixed,82,35,Yes,39704,2098,52701,12997
2010-11,2010,Rabi,Chamarajanagar,South,medium,20101,42513,2115,60,280,24.4,73,6.28,0.63,228.5,17.2,243.0,169,114,80,1539,High,Low,5,MTU-1010,Direct Seeding,Flood Irrigation,Mixed,129,26,No,35532,2165,45789,10257
2010-11,2010,Kharif,Chikkaballapura,South,medium,52451,124885,2381,59,646,29.3,80,6.16,0.59,263.5,12.7,152.8,143,72,79,1902,Medium,High,5,Rasi,Transplanting,Flood Irrigation,Manual,138,16,No,41605,1844,43905,2300
2010-11,2010,Rabi,Chikkaballapura,South,medium,28301,63762,2253,59,121,25.2,69,6.77,0.79,231.5,15.1,213.0,124,86,52,597,High,Medium,4,BPT-5204,Direct Seeding,Drip,Herbicide,136,27,No,41121,2308,51999,10878
2010-11,2010,Kharif,Chikkamagaluru,South,medium,48391,155431,3212,65,931,24.7,62,7.09,0.34,240.4,26.4,181.8,141,63,35,1171,High,Medium,4,Jyothi,SRI,Sprinkler,Herbicide,101,37,No,46519,2257,72494,25975
2010-11,2010,Rabi,Chikkamagaluru,South,medium,11333,35211,3107,65,280,28.1,73,6.41,0.79,292.2,11.5,195.6,146,115,77,1891,Low,Low,3,MTU-1010,SRI,Sprinkler,Herbicide,84,19,Yes,42733,2460,76432,33699
2010-11,2010,Kharif,Chitradurga,Central,medium-low,34681,88332,2547,58,980,22.3,64,7.02,0.77,205.8,25.3,186.1,167,96,55,1143,High,Medium,3,BPT-5204,Transplanting,Sprinkler,Manual,143,31,No,53404,1920,48902,-4501
2010-11,2010,Rabi,Chitradurga,Central,medium-low,16305,42409,2601,58,328,24.1,79,6.43,0.76,223.7,12.5,227.9,157,72,75,1411,Low,High,4,Rasi,Direct Seeding,Sprinkler,Manual,150,32,No,44828,1961,51005,6177
2010-11,2010,Kharif,Dakshina Kannada,Coastal,medium-low,49223,130293,2647,55,1117,28.4,85,6.54,0.41,297.8,25.8,135.5,163,53,53,1634,High,Medium,5,MTU-1010,SRI,Flood Irrigation,Mixed,91,17,No,48046,2290,60616,12570
2010-11,2010,Rabi,Dakshina Kannada,Coastal,medium-low,22286,48917,2195,55,309,30.2,62,6.19,0.46,161.1,19.3,177.6,116,120,70,1703,Low,Low,5,Intan,Transplanting,Flood Irrigation,Mixed,99,24,Yes,40307,2130,46753,6446
2010-11,2010,Kharif,Davanagere,Central,high,98238,402677,4099,78,931,30.9,62,6.38,0.62,232.6,12.5,145.4,168,61,62,1812,Low,High,6,JGL-1798,Transplanting,Sprinkler,Mixed,123,33,Yes,35929,1883,77184,41255
2010-11,2010,Rabi,Davanagere,Central,high,22808,104551,4584,78,395,24.6,66,7.15,0.51,245.8,20.0,194.1,137,88,60,1001,High,Medium,4,Jyothi,Transplanting,Sprinkler,Manual,100,29,No,50867,2275,104286,53419
2010-11,2010,Kharif,Dharwad,North,medium,27851,81436,2924,67,547,25.1,82,6.48,0.79,201.8,18.0,214.1,165,63,50,995,Medium,Low,4,Jyothi,Transplanting,Flood Irrigation,Manual,86,24,No,48701,2054,60058,11357
2010-11,2010,Rabi,Dharwad,North,medium,29983,93337,3113,67,267,31.3,83,6.47,0.68,224.7,20.3,174.8,139,113,31,684,Medium,High,5,JGL-1798,Transplanting,Sprinkler,Herbicide,86,16,No,51216,2411,75054,23838
2010-11,2010,Kharif,Gadag,North,medium,56400,187586,3326,60,1088,26.7,77,6.01,0.35,170.1,15.3,154.9,151,96,32,1320,Low,High,6,JGL-1798,Direct Seeding,Sprinkler,Herbicide,89,27,No,53017,2086,69380,16363
2010-11,2010,Rabi,Gadag,North,medium,29076,91007,3130,60,160,23.3,63,6.59,0.7,200.9,28.8,213.2,125,115,55,1524,Low,Low,2,JGL-1798,SRI,Drip,Herbicide,146,29,Yes,54865,2327,72835,17970
2010-11,2010,Kharif,Hassan,South,medium,25148,79216,3150,68,1027,25.2,72,7.49,0.67,194.9,16.7,224.2,168,112,75,1652,Medium,Medium,2,IR-64,Direct Seeding,Sprinkler,Manual,133,33,No,35873,2411,75946,40073
2010-11,2010,Rabi,Hassan,South,medium,21128,59073,2796,68,396,27.8,83,6.08,0.54,228.6,24.4,216.2,148,68,73,996,Low,High,2,JGL-1798,Transplanting,Drip,Herbicide,133,19,No,41681,2220,62071,20390
2010-11,2010,Kharif,Haveri,North,medium,40384,135892,3365,62,882,30.7,83,7.09,0.65,227.8,21.2,249.7,161,117,54,1142,Low,Medium,6,IR-64,SRI,Drip,Mixed,113,34,No,41300,2052,69049,27749
2010-11,2010,Rabi,Haveri,North,medium,16696,47800,2863,62,215,31.4,69,7.16,0.65,253.5,19.8,172.0,171,85,48,749,High,High,6,Jyothi,Direct Seeding,Drip,Manual,117,16,No,37589,2154,61669,24080
2010-11,2010,Kharif,Kalaburagi,North,medium-low,37883,101147,2670,57,1165,26.8,66,7.24,0.44,234.3,15.4,116.4,194,80,45,603,High,High,3,Rasi,Transplanting,Flood Irrigation,Manual,132,25,No,38294,2497,66669,28375
2010-11,2010,Rabi,Kalaburagi,North,medium-low,27840,57350,2060,57,381,31.8,65,6.61,0.77,281.8,19.5,129.9,136,91,48,1822,Low,Low,6,JGL-1798,SRI,Sprinkler,Mixed,84,20,No,40760,1837,37842,-2917
2010-11,2010,Kharif,Kodagu,South,low,54458,114143,2096,48,907,23.9,83,7.44,0.76,281.5,10.2,185.2,113,92,48,1430,High,High,6,Jyothi,Transplanting,Sprinkler,Herbicide,114,21,Yes,45835,1966,41207,-4627
2010-11,2010,Rabi,Kodagu,South,low,26942,52105,1934,48,231,29.2,60,7.1,0.7,235.2,25.1,126.3,181,101,57,1555,Medium,Low,5,Rasi,Transplanting,Flood Irrigation,Manual,141,25,Yes,35223,2067,39975,4752
2010-11,2010,Kharif,Kolar,South,medium,35408,92096,2601,61,1171,24.7,70,6.45,0.66,151.7,23.1,203.9,107,65,59,1128,Low,Medium,6,Rasi,Direct Seeding,Sprinkler,Manual,117,26,Yes,42180,1936,50355,8175
2010-11,2010,Rabi,Kolar,South,medium,21210,48613,2292,61,291,26.2,77,7.37,0.68,270.3,26.5,214.3,187,60,63,1414,High,High,4,BPT-5204,SRI,Flood Irrigation,Manual,150,31,Yes,53766,2349,53839,73
2010-11,2010,Kharif,Koppal,North,high,51144,220993,4321,85,932,26.4,81,6.31,0.59,163.6,20.2,221.3,158,66,62,1350,Medium,High,2,Intan,Direct Seeding,Sprinkler,Herbicide,82,27,No,35098,2023,87413,52315
2010-11,2010,Rabi,Koppal,North,high,46959,178068,3792,85,316,25.4,62,6.81,0.33,284.1,29.7,170.8,136,102,41,777,High,High,5,IR-64,Direct Seeding,Drip,Herbicide,128,17,Yes,46395,1921,72844,26449
2010-11,2010,Kharif,Mandya,South,high,53553,304930,5694,90,802,27.3,83,7.47,0.72,263.4,29.6,169.5,192,119,57,1589,Medium,Low,3,Jyothi,Direct Seeding,Flood Irrigation,Herbicide,104,38,Yes,36055,2476,140983,104928
2010-11,2010,Rabi,Mandya,South,high,39749,184673,4646,90,108,24.4,62,6.15,0.32,239.7,24.1,107.3,194,55,55,1398,Low,High,3,MTU-1010,Transplanting,Flood Irrigation,Mixed,117,22,No,53922,2412,112061,58139
2010-11,2010,Kharif,Mysuru,South,medium,51779,186041,3593,70,728,24.4,64,7.48,0.56,212.0,15.5,183.5,175,72,70,1890,Medium,High,5,BPT-5204,Direct Seeding,Sprinkler,Mixed,128,40,No,48642,2218,79692,31050
2010-11,2010,Rabi,Mysuru,South,medium,13755,39999,2908,70,194,29.5,75,6.36,0.41,278.6,12.9,169.5,107,102,56,1641,High,Low,5,JGL-1798,Direct Seeding,Flood Irrigation,Herbicide,90,29,No,38029,2348,68279,30250
2010-11,2010,Kharif,Raichur,North,high,99522,511443,5139,82,452,24.7,81,6.91,0.32,160.9,26.1,188.1,185,77,60,927,Medium,Medium,2,JGL-1798,Transplanting,Sprinkler,Manual,141,22,Yes,47996,2045,105092,57096
2010-11,2010,Rabi,Raichur,North,high,45770,183446,4008,82,244,25.8,77,6.97,0.45,203.9,27.7,169.9,192,110,78,1155,Low,Medium,4,Jyothi,Transplanting,Sprinkler,Manual,98,15,No,53130,2398,96111,42981
2010-11,2010,Kharif,Ramanagara,South,medium,43639,140299,3215,66,702,23.5,70,6.35,0.58,186.9,21.0,241.5,143,82,78,1500,High,High,5,Jyothi,Transplanting,Sprinkler,Herbicide,101,19,No,41030,2355,75713,34683
2010-11,2010,Rabi,Ramanagara,South,medium,24917,77342,3104,66,368,22.3,62,7.42,0.63,264.7,18.2,226.4,129,58,75,809,Low,Low,6,Jyothi,Direct Seeding,Flood Irrigation,Mixed,141,36,No,35515,1806,56058,20543
2010-11,2010,Kharif,Shivamogga,Central,high,83330,379901,4559,75,412,22.2,83,6.41,0.79,152.6,26.3,201.1,122,63,36,1573,Low,Low,3,Intan,SRI,Drip,Herbicide,114,40,No,37589,2182,99477,61888
2010-11,2010,Rabi,Shivamogga,Central,high,39150,157148,4014,75,224,31.9,67,6.45,0.71,162.1,29.8,197.5,104,61,55,1276,Medium,High,5,BPT-5204,SRI,Flood Irrigation,Mixed,101,17,No,49218,2460,98744,49526
